계열(family),매칭유형,ingredient_id,성분명_한글,성분명_영문(INCI),배합목적,매칭근거
히알루론산 계열,정확(어근일치),1149,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,보습제,"어근: 하이알루로/히알루론, Hyaluron"
히알루론산 계열,정확(어근일치),1264,소듐하이알루로네이트,Sodium Hyaluronate,피부컨디셔닝제(기타); 피부컨디셔닝제,"어근: 하이알루로/히알루론, Hyaluron"
히알루론산 계열,정확(어근일치),1267,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,피부컨디셔닝제(기타); 피부컨디셔닝제(보습제); 피부컨디셔닝제; 피부보습제,"어근: 하이알루로/히알루론, Hyaluron"
히알루론산 계열,정확(어근일치),4670,하이드록시프로필트라이모늄하이알루로네이트,Hydroxypropyltrimonium Hyaluronate,보습제; 피막형성제,"어근: 하이알루로/히알루론, Hyaluron"
히알루론산 계열,정확(어근일치),4785,하이알루로닉애씨드,Hyaluronic Acid,점도증가제(수성); 피부컨디셔닝제(기타),"어근: 하이알루로/히알루론, Hyaluron"
히알루론산 계열,정확(어근일치),5611,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,피부컨디셔닝제(보습제); 헤어컨디셔닝제,"어근: 하이알루로/히알루론, Hyaluron"
히알루론산 계열,정확(어근일치),7454,하이드롤라이즈드소듐하이알루로네이트,Hydrolyzed Sodium Hyaluronate,피부컨디셔닝제(기타),"어근: 하이알루로/히알루론, Hyaluron"
B5/판토텐산 계열,정확(어근일치),2941,칼슘판토테네이트,Calcium Pantothenate,헤어컨디셔닝제; 모발컨디셔닝제,"어근: 판테놀/판토텐, Panthen/Pantothen"
B5/판토텐산 계열,정확(어근일치),3500,판테놀,Panthenol,용제; 피부컨디셔닝제(보습제); 헤어컨디셔닝제,"어근: 판테놀/판토텐, Panthen/Pantothen"
B5/판토텐산 계열,정확(어근일치),3507,판토테닉애씨드,Pantothenic Acid,헤어컨디셔닝제; 모발컨디셔닝제,"어근: 판테놀/판토텐, Panthen/Pantothen"
비타민C 계열,정확(어근일치),1151,소듐아스코빌포스페이트,Sodium Ascorbyl Phosphate,산화방지제,"어근: 아스코빌/아스코르빈/아스코르브, Ascorb"
비타민C 계열,정확(어근일치),1718,아스코빅애씨드,Ascorbic Acid,pH 조정제; 산화방지제; 착향제; 피부컨디셔닝제(기타); 피부컨디셔닝제,"어근: 아스코빌/아스코르빈/아스코르브, Ascorb"
비타민C 계열,정확(어근일치),1720,아스코빌글루코사이드,Ascorbyl Glucoside,미백개선제; 산화방지제; 미백개선(기능성화장품),"어근: 아스코빌/아스코르빈/아스코르브, Ascorb"
비타민C 계열,정확(어근일치),18377,3-O-에틸아스코빅애씨드,3-O-Ethyl Ascorbic Acid,피부컨디셔닝제(기타),"어근: 아스코빌/아스코르빈/아스코르브, Ascorb"
콜라겐 계열,정확(어근일치),1348,수용성콜라겐,Soluble Collagen,피부컨디셔닝제(기타); 헤어컨디셔닝제; 피부컨디셔닝제; 모발컨디셔닝제,"어근: 콜라겐, Collagen"
